"pmid","seed","c","is_seed"
34225313,26999425,5,TRUE
34225313,24051465,9,TRUE
34225313,28707450,6,TRUE
34225313,20309001,6,TRUE
34225313,27302416,4,TRUE
34227029,28461259,415,TRUE
34227029,22300783,42,TRUE
34227029,26356834,77,TRUE
34227029,29096792,46,TRUE
34227029,24800236,28,TRUE
34227052,29330843,75,TRUE
34227052,28079430,138,TRUE
34227052,25076007,446,TRUE
34227052,27396803,75,TRUE
34227052,29219922,84,TRUE
34231504,30201201,8,TRUE
34231504,26045562,29,TRUE
34231504,26311020,82,TRUE
34231504,28131547,15,TRUE
34231504,27940799,34,TRUE
34231844,22818936,4230,TRUE
34231844,21333011,694,TRUE
34231844,21689678,22,TRUE
34231844,27118430,117,TRUE
34231844,23436276,32,TRUE
34237173,24320571,3,TRUE
34237173,30742471,4,TRUE
34237173,21793047,63,TRUE
34237173,28509624,4,TRUE
34237173,20096978,68,TRUE
34238047,26876876,50,TRUE
34238047,28252516,28,TRUE
34238047,31289714,11,TRUE
34238047,20304481,261,TRUE
34238047,29868573,40,TRUE
34240462,24119986,22,TRUE
34240462,25237614,99,TRUE
34240462,23190408,57,TRUE
34240462,30754640,312,TRUE
34240462,33158467,40,TRUE
34245172,30109297,22,TRUE
34245172,30627572,5,TRUE
34245172,30448466,24,TRUE
34245172,33371347,5,TRUE
34245172,32111253,588,TRUE
34251578,30273002,17,TRUE
34251578,25405755,466,TRUE
34251578,23770088,56,TRUE
34251578,30998045,46,TRUE
34251578,23401541,138,TRUE
34251920,21367734,1439,TRUE
34251920,28696346,59,TRUE
34251920,27894190,9,TRUE
34251920,26885812,23,TRUE
34251920,25595711,118,TRUE
34253467,32469299,2,TRUE
34253467,25582894,23,TRUE
34253467,24766824,24,TRUE
34253467,25640822,36,TRUE
34253467,27121907,697,TRUE
34259986,25643852,17,TRUE
34259986,26644457,27,TRUE
34259986,30953565,12,TRUE
34259986,27026133,59,TRUE
34259986,23683331,54,TRUE
34264517,31784355,9,TRUE
34264517,30649175,134,TRUE
34264517,22084692,49,TRUE
34264517,26207245,14,TRUE
34264517,29031497,21,TRUE
34265772,32258058,7,TRUE
34265772,31350756,1,TRUE
34265772,28879187,21,TRUE
34265772,26622153,14,TRUE
34265772,28879194,3,TRUE
34271035,22052934,1102,TRUE
34271035,28302548,69,TRUE
34271035,27181874,82,TRUE
34271035,27849287,15,TRUE
34271035,30695817,261,TRUE
34272960,21801978,41,TRUE
34272960,29302846,107,TRUE
34272960,23351634,126,TRUE
34272960,31201670,30,TRUE
34272960,25912186,7,TRUE
34273248,32441238,5,TRUE
34273248,34273248,7,TRUE
34273248,23867885,104,TRUE
34273248,30741499,7,TRUE
34273248,27901038,15,TRUE
34275184,26990348,27,TRUE
34275184,25923633,14,TRUE
34275184,25808425,18,TRUE
34275184,25263806,48,TRUE
34275184,23043878,20,TRUE
34278421,22706833,209,TRUE
34278421,28550006,72,TRUE
34278421,31262846,156,TRUE
34278421,33528494,79,TRUE
34278421,24035556,56,TRUE
34287109,32336042,115,TRUE
34287109,33041972,30,TRUE
34287109,32782030,120,TRUE
34287109,33295021,59,TRUE
34287109,32548209,64,TRUE
34293651,21284063,462,TRUE
34293651,33086903,95,TRUE
34293651,21533005,6,TRUE
34293651,26057231,33,TRUE
34293651,25731182,35,TRUE
34297267,26355549,28,TRUE
34297267,28365915,42,TRUE
34297267,23093685,730,TRUE
34297267,23271394,63,TRUE
34297267,29991897,10,TRUE
34303610,29295829,22,TRUE
34303610,26406772,35,TRUE
34303610,25174019,21,TRUE
34303610,29248878,69,TRUE
34303610,27385237,31,TRUE
34313018,25538036,36,TRUE
34313018,30803220,9,TRUE
34313018,26547835,43,TRUE
34313018,27378079,89,TRUE
34313018,29395269,2360,TRUE
34314612,29172696,17,TRUE
34314612,27542825,58,TRUE
34314612,28207196,4,TRUE
34314612,21783046,69,TRUE
34314612,24819579,38,TRUE
34324124,23215898,186,TRUE
34324124,31288604,25,TRUE
34324124,25177360,99,TRUE
34324124,25687898,13,TRUE
34324124,20397999,15,TRUE
34325554,24436718,35,TRUE
34325554,28173513,108,TRUE
34325554,27366130,689,TRUE
34325554,24525992,144,TRUE
34325554,23561560,95,TRUE
34326002,31462531,8538,TRUE
34326002,26106946,475,TRUE
34326002,25301459,268,TRUE
34326002,26287812,174,TRUE
34326002,23797811,233,TRUE
34327710,31276583,12,TRUE
34327710,31066609,24,TRUE
34327710,27733354,7277,TRUE
34327710,31758191,49,TRUE
34327710,29926951,875,TRUE
34328056,31970529,21,TRUE
34328056,32359940,16,TRUE
34328056,23111807,94,TRUE
34328056,30015508,5,TRUE
34328056,32518671,20,TRUE
34332421,32466454,10,TRUE
34332421,29579923,16,TRUE
34332421,24262536,40,TRUE
34332421,24148475,15,TRUE
34332421,27664649,28,TRUE
34338171,20652370,10029,TRUE
34338171,31972238,74,TRUE
34338171,29170102,68,TRUE
34338171,30481081,11,TRUE
34338171,23306829,20,TRUE
34338380,32975552,524,TRUE
34338380,33012349,155,TRUE
34338380,34043590,50,TRUE
34338380,27734877,892,TRUE
34338380,32179140,118,TRUE
34339507,30572580,16,TRUE
34339507,23844903,31,TRUE
34339507,30879735,15,TRUE
34339507,29797503,27,TRUE
34339507,25280744,36,TRUE
34339743,26852717,68,TRUE
34339743,22002738,76,TRUE
34339743,20599294,15,TRUE
34339743,24152068,17,TRUE
34339743,24289224,29,TRUE
34347101,30422239,239,TRUE
34347101,30928396,28,TRUE
34347101,27869630,259,TRUE
34347101,28082841,75,TRUE
34347101,25798880,71,TRUE
34348551,33293689,9,TRUE
34348551,25554246,12484,TRUE
34348551,26969671,174,TRUE
34348551,24891203,40,TRUE
34348551,26963326,169,TRUE
34355305,29740782,93,TRUE
34355305,29232539,34,TRUE
34355305,21636297,420,TRUE
34355305,30048158,21,TRUE
34355305,29055062,31,TRUE
34370212,25183557,3,TRUE
34370212,31115619,7,TRUE
34370212,27496368,3,TRUE
34370212,31834172,5,TRUE
34370212,20026697,11,TRUE
34375150,31624476,14,TRUE
34375150,21398389,124,TRUE
34375150,28449618,28,TRUE
34375150,27606278,15,TRUE
34375150,22008217,19839,TRUE
34375462,31726864,18,TRUE
34375462,25524443,4499,TRUE
34375462,28805345,42,TRUE
34375462,30443719,35,TRUE
34375462,30238213,16,TRUE
34379290,32381264,1134,TRUE
34379290,32451823,166,TRUE
34379290,32437596,3464,TRUE
34379290,32735134,77,TRUE
34379290,32746455,136,TRUE
34380132,26324857,20,TRUE
34380132,33315206,10,TRUE
34380132,22980165,46,TRUE
34380132,27244468,18,TRUE
34380132,20851058,88,TRUE
34382408,22307385,110,TRUE
34382408,21239414,138,TRUE
34382408,30177910,23,TRUE
34382408,25186238,699,TRUE
34382408,29876270,135,TRUE
34382608,31732650,40,TRUE
34382608,34505829,4,TRUE
34382608,30902532,25,TRUE
34382608,27544377,238,TRUE
34382608,25481420,309,TRUE
34383099,26595792,8,TRUE
34383099,23990903,48,TRUE
34383099,28419547,23,TRUE
34383099,26630975,43,TRUE
34383099,28394087,36,TRUE
34383225,27468229,21,TRUE
34383225,30097575,19,TRUE
34383225,31737351,8,TRUE
34383225,29625777,51,TRUE
34383225,30130430,23,TRUE
34384834,30554722,46,TRUE
34384834,32099644,9,TRUE
34384834,21920891,83,TRUE
34384834,23144822,170,TRUE
34384834,33655501,11,TRUE
34387202,27383732,88,TRUE
34387202,22914079,75,TRUE
34387202,32923103,9,TRUE
34387202,20221326,64,TRUE
34387202,28930038,4,TRUE
34389225,23584930,23,TRUE
34389225,21321151,378,TRUE
34389225,20688338,49,TRUE
34389225,30001701,12,TRUE
34389225,20603462,33,TRUE
34390706,27933183,21,TRUE
34390706,31995683,1349,TRUE
34390706,33929519,30,TRUE
34390706,30937431,187,TRUE
34390706,29800127,108,TRUE
34399433,32347755,23,TRUE
34399433,27669125,29,TRUE
34399433,29622509,70,TRUE
34399433,27733354,7277,TRUE
34399433,28159600,64,TRUE
34399653,32630279,8,TRUE
34399653,26578852,47,TRUE
34399653,27548212,49,TRUE
34399653,29125915,8,TRUE
34399653,28150476,13,TRUE
